property,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,lat,long,Date,year,month,day
2391600950,20140502,4.40E+05,3,2.5,1770,2875,2,0,0,3,8,1770,0,1990,0,98116,1770,3833,47.5631,-122.397,2014/5/2,2014,5,2
1771000430,20140502,3.15E+05,3,1,1160,9180,1,0,0,3,7,1160,0,1968,0,98077,1160,10282,47.7427,-122.072,2014/5/2,2014,5,2
6403500290,20140502,4.08E+05,3,2.5,1930,10460,2,0,0,3,8,1930,0,1996,0,98059,2290,8228,47.4938,-122.161,2014/5/2,2014,5,2
8673400086,20140502,4.46E+05,3,2.5,1270,1180,3,0,0,3,8,1270,0,2001,0,98107,1320,1180,47.6697,-122.392,2014/5/2,2014,5,2
2326059099,20140502,8.38E+05,4,2.5,3310,42998,2,0,0,3,9,3310,0,2001,0,98052,3350,42847,47.7232,-122.131,2014/5/2,2014,5,2
7525410190,20140502,5.50E+05,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,98075,2590,37500,47.5747,-122.035,2014/5/2,2014,5,2
2201501015,20140502,4.30E+05,4,1.5,1920,10000,1,0,0,4,7,1070,850,1954,0,98006,1450,10836,47.5725,-122.133,2014/5/2,2014,5,2
2423600100,20140502,4.92E+05,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,0,98092,3000,125017,47.2703,-122.069,2014/5/2,2014,5,2
2771102144,20140502,3.85E+05,3,3.25,1320,1327,2,0,0,3,8,1040,280,2008,0,98199,1440,1263,47.6506,-122.383,2014/5/2,2014,5,2
3438501320,20140502,2.95E+05,2,2.5,1630,1368,2,0,0,3,7,1280,350,2009,0,98106,1590,2306,47.5489,-122.363,2014/5/2,2014,5,2
8564860280,20140502,4.60E+05,3,2.5,2680,5539,2,0,0,3,8,2680,0,2013,0,98045,2990,6037,47.4761,-121.734,2014/5/2,2014,5,2
3832050580,20140502,3.00E+05,3,2.5,2540,5050,2,0,0,3,7,2540,0,2006,0,98042,2280,5050,47.3358,-122.055,2014/5/2,2014,5,2
8682250090,20140504,7.75E+05,2,2.5,2680,7392,1,0,0,3,9,2680,0,2004,0,98053,2315,7045,47.717,-122.026,2014/5/4,2014,5,4
2591830130,20140504,3.65E+05,3,2.5,2200,7350,1,0,0,5,8,1570,630,1988,0,98058,2350,7557,47.4395,-122.161,2014/5/4,2014,5,4
4137010530,20140504,3.32E+05,4,2.5,2530,9933,2,0,2,3,8,2010,520,1990,0,98092,2140,9933,47.2654,-122.216,2014/5/4,2014,5,4
9829201058,20140504,7.84E+05,3,2.5,2850,7130,2,0,0,3,10,1990,860,1980,0,98122,2280,6459,47.603,-122.289,2014/5/4,2014,5,4
1954440060,20140505,5.60E+05,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,2030,8744,47.62,-122.043,2014/5/5,2014,5,5
325059171,20140505,9.00E+05,3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,98033,1340,17689,47.6891,-122.159,2014/5/5,2014,5,5
6865200444,20140505,5.31E+05,2,3,1270,1175,2,0,0,3,8,1110,160,2000,0,98103,1290,1800,47.6634,-122.34,2014/5/5,2014,5,5
9828700200,20140505,8.31E+05,4,3,2170,4000,2,0,0,4,9,1610,560,1982,2011,98112,1670,4000,47.6196,-122.292,2014/5/5,2014,5,5
1549500370,20140505,2.10E+05,3,1,1340,306848,1,0,0,3,5,1340,0,1953,0,98019,1800,128066,47.7534,-121.912,2014/5/5,2014,5,5
9512000140,20140505,7.55E+05,4,2.5,2120,10202,1,0,0,4,7,1620,500,1960,0,98005,1570,10762,47.5858,-122.17,2014/5/5,2014,5,5
3629910240,20140505,7.05E+05,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,0,98029,2130,4106,47.5493,-121.993,2014/5/5,2014,5,5
6896300375,20140505,5.80E+05,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,0,98118,2160,6000,47.5259,-122.261,2014/5/5,2014,5,5
5561301280,20140505,4.10E+05,3,2.25,1800,36704,1,0,0,4,8,1360,440,1978,0,98027,2730,36404,47.4688,-122.013,2014/5/5,2014,5,5
3574801780,20140505,4.85E+05,4,3,2340,7048,1,0,0,4,8,1340,1000,1979,0,98034,1440,8088,47.7306,-122.227,2014/5/5,2014,5,5
5589900590,20140505,4.00E+05,2,1.75,2110,9519,1,0,0,2,7,2110,0,1948,0,98155,1480,9519,47.7504,-122.306,2014/5/5,2014,5,5
9828700900,20140505,5.49E+05,2,1,1140,5400,1,0,0,5,7,1140,0,1908,0,98112,1520,4800,47.6205,-122.294,2014/5/5,2014,5,5
2488200459,20140505,4.05E+05,2,3,1410,1240,2,0,0,3,8,1140,270,2006,0,98136,1410,1273,47.5221,-122.39,2014/5/5,2014,5,5
2946001645,20140505,2.32E+05,2,1,1200,8063,1,0,0,4,6,1200,0,1958,0,98198,1200,7500,47.4204,-122.324,2014/5/5,2014,5,5
3619600143,20140505,6.50E+05,3,1.5,2160,9000,1,0,2,4,8,1400,760,1949,0,98177,3010,9000,47.7241,-122.369,2014/5/5,2014,5,5
6821101870,20140505,5.24E+05,3,1.75,1560,5520,1,0,0,4,6,780,780,1944,0,98199,1470,6000,47.6515,-122.399,2014/5/5,2014,5,5
9822700255,20140505,6.70E+05,3,2.5,1680,2000,3,0,0,3,9,1680,0,1909,1998,98105,1950,5000,47.6604,-122.29,2014/5/5,2014,5,5
1196000007,20140505,3.85E+05,5,2.5,3090,12750,1,0,0,3,8,1750,1340,1968,0,98023,1760,25919,47.3408,-122.335,2014/5/5,2014,5,5
4309710250,20140505,7.37E+05,4,2.5,3180,21904,2,0,3,3,9,3180,0,2000,0,98059,3715,29170,47.515,-122.117,2014/5/5,2014,5,5
6143600580,20140505,1.84E+05,3,1.75,1490,10125,1,0,0,4,7,1490,0,1962,0,98001,2488,4981,47.3075,-122.284,2014/5/5,2014,5,5
23500180,20140505,5.70E+05,3,2.25,2010,6000,1,0,0,3,8,1330,680,1975,0,98052,2080,8260,47.6912,-122.115,2014/5/5,2014,5,5
259600530,20140505,5.01E+05,4,1,2070,7519,1,0,0,3,7,1160,910,1963,0,98008,1730,7519,47.632,-122.119,2014/5/5,2014,5,5
2487700065,20140505,4.00E+05,2,1,840,5510,1,0,0,3,7,840,0,1955,0,98136,1630,5510,47.5247,-122.391,2014/5/5,2014,5,5
1898700310,20140505,2.20E+05,4,1.5,1240,9600,1,0,0,3,7,1240,0,1971,0,98023,1240,9592,47.3206,-122.397,2014/5/5,2014,5,5
1402810140,20140505,3.00E+05,3,2,1050,10072,1,0,0,3,7,1050,0,1986,0,98019,1130,10087,47.7341,-121.976,2014/5/5,2014,5,5
1823069155,20140505,5.26E+05,5,1.75,2550,71874,1,0,0,5,7,1810,740,1960,0,98027,2170,51400,47.4845,-122.08,2014/5/5,2014,5,5
1861400060,20140505,7.40E+05,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,1902,0,98119,2010,3600,47.6337,-122.371,2014/5/5,2014,5,5
1446403305,20140505,2.06E+05,2,1,810,7158,1,0,0,5,6,810,0,1944,0,98168,1090,7158,47.4882,-122.325,2014/5/5,2014,5,5
1225069038,20140505,2.28E+06,7,8,13540,307752,3,0,4,3,12,9410,4130,1999,0,98053,4850,217800,47.6675,-121.986,2014/5/5,2014,5,5
6402710120,20140505,3.10E+05,3,2.5,1880,7838,2,0,0,3,7,1880,0,1994,0,98055,1810,7915,47.4439,-122.19,2014/5/5,2014,5,5
263000155,20140505,4.18E+05,3,2,1410,6030,1.5,0,0,4,7,1410,0,1930,0,98103,1410,6300,47.6994,-122.347,2014/5/5,2014,5,5
6145600865,20140505,4.49E+05,4,2,1480,3844,1.5,0,0,5,7,1480,0,1928,0,98133,1480,3844,47.7042,-122.352,2014/5/5,2014,5,5
3329520410,20140505,2.45E+05,3,1.75,1920,9306,1,0,0,3,7,1000,920,1984,0,98001,1860,8458,47.3319,-122.267,2014/5/5,2014,5,5
8653900150,20140505,8.00E+05,3,2.5,3240,7857,2,0,0,3,10,3240,0,1994,0,98075,2970,7857,47.5857,-122.038,2014/5/5,2014,5,5
1823069213,20140505,2.50E+05,3,2,1550,15040,1,0,0,4,6,1550,0,1958,0,98059,1510,41416,47.4873,-122.099,2014/5/5,2014,5,5
7784400130,20140505,4.97E+05,6,2.75,3200,9200,1,0,2,4,8,1600,1600,1953,0,98146,2220,9500,47.492,-122.364,2014/5/5,2014,5,5
4385700425,20140505,1.43E+06,2,2.5,2220,4000,2,0,0,3,9,2220,0,2000,0,98112,1870,4000,47.6364,-122.28,2014/5/5,2014,5,5
2790410250,20140505,6.15E+05,4,1.75,2300,11700,1,0,0,4,9,1960,340,1977,0,98052,2840,12000,47.6331,-122.094,2014/5/5,2014,5,5
1868900775,20140505,6.19E+05,3,2,1800,5000,1,0,0,4,7,1080,720,1942,0,98115,1800,5000,47.6738,-122.297,2014/5/5,2014,5,5
2558720120,20140505,4.88E+05,4,1.75,2010,9211,1,0,0,3,7,1470,540,1977,0,98034,1840,8500,47.7206,-122.171,2014/5/5,2014,5,5
1862400176,20140505,6.32E+05,4,2.5,2440,6651,2,0,0,3,9,2440,0,2014,0,98117,1350,7653,47.6971,-122.371,2014/5/5,2014,5,5
8648900110,20140505,5.55E+05,3,2.5,1940,3211,2,0,0,3,8,1940,0,2009,0,98027,1880,3078,47.5644,-122.093,2014/5/5,2014,5,5
3644100086,20140505,3.40E+05,2,1.5,1160,1438,2,0,0,3,7,1160,0,2001,0,98144,1220,1740,47.5917,-122.295,2014/5/5,2014,5,5
8562710250,20140505,8.90E+05,4,4.25,4420,5750,2,0,0,3,10,3410,1010,2006,0,98027,4420,5750,47.5404,-122.073,2014/5/5,2014,5,5
6632300212,20140505,3.67E+05,3,3,1571,2017,3,0,0,3,8,1571,0,2008,0,98125,1520,1497,47.7338,-122.309,2014/5/5,2014,5,5
259500270,20140505,4.78E+05,3,2.5,3040,4535,2,0,0,3,9,3040,0,2007,0,98056,2670,4666,47.51,-122.185,2014/5/5,2014,5,5
8138870530,20140505,4.19E+05,2,2.5,1590,1426,2,0,0,3,8,1590,0,2014,0,98029,1590,1426,47.5441,-122.013,2014/5/5,2014,5,5
6666830250,20140505,7.12E+05,4,2.5,2450,4247,2,0,0,3,8,2450,0,2013,0,98052,2970,4685,47.7048,-122.113,2014/5/5,2014,5,5
3754700160,20140506,3.97E+05,4,2,1440,7680,1,0,0,3,7,1200,240,1971,0,98034,1460,9660,47.7245,-122.2,2014/5/6,2014,5,6
5701800030,20140506,6.09E+05,4,2.5,2150,37981,2,0,0,3,9,2150,0,1985,0,98052,2450,37981,47.7227,-122.098,2014/5/6,2014,5,6
3176100110,20140506,6.50E+05,3,1.5,1630,7475,1,0,1,3,7,1160,470,1940,0,98115,2320,7475,47.6725,-122.272,2014/5/6,2014,5,6
3524039209,20140506,1.14E+06,4,2.75,3370,8103,1,0,3,3,9,1970,1400,1970,2014,98136,2120,6360,47.5232,-122.383,2014/5/6,2014,5,6
9477001280,20140506,4.25E+05,4,2,1520,7983,1,0,0,5,7,1520,0,1967,0,98034,1520,7783,47.7357,-122.193,2014/5/6,2014,5,6
4302200535,20140506,2.19E+05,2,1,900,5160,1,0,0,3,6,900,0,1952,0,98106,900,5160,47.525,-122.356,2014/5/6,2014,5,6
4040800090,20140506,3.90E+05,3,1.75,1260,6500,1,0,0,4,7,1260,0,1966,0,98008,1500,7700,47.6224,-122.116,2014/5/6,2014,5,6
114100745,20140506,4.75E+05,6,3,3470,117612,1.5,0,0,3,7,3470,0,1924,0,98028,2120,17100,47.7663,-122.234,2014/5/6,2014,5,6
8656300380,20140506,2.72E+05,3,2.5,1650,13816,2,0,0,3,7,1650,0,1998,0,98014,1650,15144,47.6553,-121.912,2014/5/6,2014,5,6
2923049372,20140506,3.62E+05,3,2.25,1640,14374,1,0,0,4,7,1140,500,1963,0,98148,2020,10500,47.4476,-122.332,2014/5/6,2014,5,6
9564800145,20140506,1.75E+05,3,1,1010,7034,1,0,0,3,7,1010,0,1954,0,98055,1440,10994,47.49,-122.22,2014/5/6,2014,5,6
9828702513,20140506,4.60E+05,2,2.25,1230,929,2,0,0,3,8,1020,210,2004,0,98122,1270,1370,47.6191,-122.301,2014/5/6,2014,5,6
2558700090,20140506,4.55E+05,5,2.5,2240,7770,1,0,0,3,7,1340,900,1978,0,98034,1820,7770,47.7198,-122.171,2014/5/6,2014,5,6
1777600230,20140506,6.10E+05,4,3,2450,10117,1,0,0,5,8,1580,870,1967,0,98006,2530,10125,47.5694,-122.132,2014/5/6,2014,5,6
579002870,20140506,6.13E+05,4,2,2060,5000,1,0,0,3,7,1030,1030,1949,2013,98117,1280,5000,47.6992,-122.379,2014/5/6,2014,5,6
1995200200,20140506,3.14E+05,3,1,1510,6083,1,0,0,4,6,860,650,1940,0,98115,1510,5712,47.6966,-122.324,2014/5/6,2014,5,6
2771600350,20140506,5.75E+05,3,1.75,2130,6500,1,0,2,3,8,1170,960,1954,0,98199,2020,5000,47.6424,-122.386,2014/5/6,2014,5,6
1068000520,20140506,1.23E+06,4,2.25,3490,6906,2,0,0,4,10,2280,1210,1928,0,98199,2540,6223,47.6424,-122.407,2014/5/6,2014,5,6
6070500055,20140506,5.99E+05,4,2.25,2260,29930,2,0,0,4,8,1400,860,1977,0,98006,2770,29930,47.5689,-122.126,2014/5/6,2014,5,6
6150700394,20140506,3.65E+05,3,1.5,1310,8160,1,0,0,3,7,1310,0,1950,0,98133,1090,7560,47.7291,-122.339,2014/5/6,2014,5,6
6751300065,20140506,5.18E+05,3,1.5,1430,8000,1,0,0,4,7,1430,0,1956,0,98007,1450,8000,47.5874,-122.136,2014/5/6,2014,5,6
3396820150,20140506,5.62E+05,5,2.25,3040,8111,2,0,0,3,8,3040,0,1984,0,98052,2020,8304,47.7157,-122.103,2014/5/6,2014,5,6
7300200290,20140506,6.50E+05,5,3.5,3480,36615,2,0,0,4,8,2490,990,1983,0,98075,2540,35910,47.5741,-122.05,2014/5/6,2014,5,6
2436200715,20140506,4.84E+05,2,1.75,1660,6000,1,0,0,3,7,1160,500,1942,0,98105,1660,4000,47.6624,-122.291,2014/5/6,2014,5,6
3205100130,20140506,3.87E+05,3,1,1230,9568,1,0,0,5,7,1230,0,1962,0,98056,1270,9575,47.539,-122.179,2014/5/6,2014,5,6
3862400050,20140506,4.65E+05,3,2.25,1970,11088,1,0,0,4,8,1180,790,1967,0,98155,1970,10470,47.7651,-122.277,2014/5/6,2014,5,6
226039075,20140506,6.56E+05,4,3.5,3380,8330,2,0,0,3,8,3380,0,2000,0,98177,2220,8330,47.7741,-122.379,2014/5/6,2014,5,6
9482700440,20140506,5.33E+05,5,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,0,98103,1400,3780,47.6831,-122.343,2014/5/6,2014,5,6
2742100009,20140506,3.85E+05,3,1.75,1900,5520,1,0,0,3,7,1280,620,1982,0,98118,1330,5196,47.5549,-122.292,2014/5/6,2014,5,6
9550200650,20140506,4.99E+05,2,1.75,1170,2400,1,0,0,4,7,740,430,1903,0,98103,1570,3919,47.6653,-122.333,2014/5/6,2014,5,6
2025049161,20140506,1.05E+06,3,2.5,2200,1970,2,0,0,3,9,1610,590,2008,0,98102,1890,3505,47.6426,-122.327,2014/5/6,2014,5,6
1788700230,20140506,1.91E+05,3,1.5,800,8850,1,0,0,4,6,800,0,1959,0,98023,820,8775,47.3266,-122.348,2014/5/6,2014,5,6
9828702265,20140506,5.00E+05,3,2.5,1480,1171,3,0,0,3,8,1480,0,2006,0,98112,1480,1231,47.62,-122.3,2014/5/6,2014,5,6
993000327,20140506,3.70E+05,3,2,1270,1320,3,0,0,3,8,1270,0,2006,0,98103,1370,1320,47.6937,-122.342,2014/5/6,2014,5,6
524059063,20140506,1.80E+06,5,5,4490,10279,2,0,0,3,10,3930,560,2013,0,98004,2490,10279,47.5974,-122.202,2014/5/6,2014,5,6
2985800030,20140507,4.95E+05,3,1,990,6000,1,0,0,3,6,990,0,1943,0,98105,1250,6000,47.6718,-122.267,2014/5/7,2014,5,7
6332940070,20140507,5.10E+05,4,2.5,2430,5203,2,0,0,3,8,2430,0,2003,0,98155,2260,7474,47.7402,-122.317,2014/5/7,2014,5,7
1117200390,20140507,1.15E+06,4,4,4460,103382,2,0,0,3,11,4460,0,2001,0,98053,3470,88519,47.634,-121.997,2014/5/7,2014,5,7
5636000400,20140507,2.53E+05,3,1.75,1250,10122,1,0,0,3,7,1250,0,1994,0,98010,1980,10175,47.3277,-122.001,2014/5/7,2014,5,7
2322069168,20140507,6.30E+05,3,2.5,2680,327135,2,0,0,3,8,2680,0,1995,0,98010,2020,60080,47.3783,-122.003,2014/5/7,2014,5,7
7932000078,20140507,3.10E+05,3,1.75,2070,37904,1,0,0,4,7,1420,650,1973,0,98058,2011,19110,47.425,-122.186,2014/5/7,2014,5,7
1425059178,20140507,4.60E+05,3,2,1760,9055,2,0,0,4,7,1760,0,1985,0,98052,2010,9383,47.6534,-122.128,2014/5/7,2014,5,7
2785000290,20140507,6.75E+05,3,1.75,1680,10500,1,0,0,4,8,1680,0,1959,0,98005,2250,10400,47.6098,-122.169,2014/5/7,2014,5,7
1972201856,20140507,5.26E+05,2,2,1550,2400,1.5,0,0,4,7,1550,0,1900,0,98103,1180,1224,47.654,-122.346,2014/5/7,2014,5,7
425079099,20140507,5.60E+05,3,3,4120,60392,2,0,2,3,9,3180,940,1994,0,98014,2770,64033,47.6804,-121.913,2014/5/7,2014,5,7
7503000020,20140507,4.15E+05,4,3,1830,9548,2,0,0,3,7,1830,0,1991,0,98028,1740,9750,47.7379,-122.224,2014/5/7,2014,5,7
7159200005,20140507,3.20E+06,7,4.5,6210,8856,2.5,0,2,5,11,4760,1450,1910,0,98109,2940,5400,47.6307,-122.354,2014/5/7,2014,5,7
1822300040,20140507,4.20E+05,2,1.5,1040,3500,1.5,0,0,4,6,1040,0,1904,0,98144,1340,1213,47.588,-122.304,2014/5/7,2014,5,7
2726079061,20140507,5.35E+05,3,1.75,2720,149410,1.5,0,0,3,9,2720,0,1988,0,98014,2560,149410,47.7092,-121.892,2014/5/7,2014,5,7
142000165,20140507,7.50E+05,4,2.75,2600,6050,2,0,0,5,8,1960,640,1949,0,98116,1990,6050,47.5656,-122.4,2014/5/7,2014,5,7
7882900120,20140507,2.30E+05,3,2.5,1920,9180,2,0,0,3,8,1920,0,1988,0,98055,1930,7252,47.4818,-122.231,2014/5/7,2014,5,7
8679600150,20140507,5.81E+05,4,2,2510,13695,1,0,0,4,7,1280,1230,1961,2001,98033,1220,12500,47.7005,-122.174,2014/5/7,2014,5,7
6865200831,20140507,4.75E+05,2,1,820,2723,1,0,0,3,7,820,0,1921,0,98103,1370,3850,47.6623,-122.339,2014/5/7,2014,5,7
8682230400,20140507,4.28E+05,2,2,1350,3900,1,0,0,3,8,1350,0,2003,0,98053,1440,3900,47.7094,-122.03,2014/5/7,2014,5,7
8825900465,20140507,5.99E+05,3,1.75,1960,4788,1,0,0,4,7,1090,870,1920,0,98115,1960,3960,47.6746,-122.312,2014/5/7,2014,5,7
3073500045,20140507,4.92E+05,4,2.5,3305,16164,1.5,0,0,5,7,2245,1060,1922,1956,98133,1620,8883,47.7563,-122.338,2014/5/7,2014,5,7
2926069083,20140507,9.00E+05,5,3.75,4130,226076,2,0,0,3,9,3170,960,1985,0,98077,4130,55321,47.715,-122.065,2014/5/7,2014,5,7
9274201006,20140507,7.05E+05,4,2.5,2650,4316,1.5,0,0,3,8,1520,1130,1905,2013,98116,1690,5625,47.5866,-122.389,2014/5/7,2014,5,7
7548300441,20140507,3.00E+05,2,1,760,3001,1,0,0,3,6,760,0,1913,0,98144,1750,5000,47.5874,-122.311,2014/5/7,2014,5,7
1900600040,20140507,2.65E+05,5,1.5,1500,7112,1,0,0,5,6,760,740,1920,0,98166,1200,7112,47.4692,-122.35,2014/5/7,2014,5,7
1338800365,20140507,1.50E+06,6,2.5,3560,6480,2.5,0,0,4,11,3560,0,1914,0,98112,2780,6480,47.627,-122.304,2014/5/7,2014,5,7
1370803460,20140507,1.34E+06,3,3,2960,5500,2,0,2,3,10,2440,520,1937,1990,98199,2960,5876,47.6356,-122.402,2014/5/7,2014,5,7
7697870530,20140507,2.40E+05,3,2,1410,7566,1,0,0,3,7,1410,0,1985,0,98030,1570,7210,47.3674,-122.182,2014/5/7,2014,5,7
1394300005,20140507,3.61E+05,2,1,820,6400,1,0,0,4,7,820,0,1944,0,98126,1490,6400,47.55,-122.379,2014/5/7,2014,5,7
8121100255,20140507,4.40E+05,3,1.75,1500,6180,1,0,0,4,6,1060,440,1947,0,98118,1740,6180,47.5689,-122.284,2014/5/7,2014,5,7
8155850010,20140507,6.75E+05,4,4,3680,18804,2,0,0,3,10,3680,0,1990,0,98074,3200,15954,47.6193,-122.014,2014/5/7,2014,5,7
9545230280,20140507,5.60E+05,3,2,1860,13374,1,0,0,3,8,1860,0,1985,0,98027,1960,9797,47.5397,-122.054,2014/5/7,2014,5,7
6146600185,20140507,1.60E+05,2,1,1040,13100,1,0,0,5,6,1040,0,1912,0,98032,910,5080,47.3877,-122.234,2014/5/7,2014,5,7
6093900280,20140507,2.10E+05,3,1.5,1380,11130,1,0,0,3,7,1380,0,1960,0,98003,1380,9200,47.3146,-122.323,2014/5/7,2014,5,7
8648220150,20140507,2.27E+05,3,1.75,1640,10762,1,0,0,3,7,1130,510,1988,0,98042,1680,10259,47.3586,-122.074,2014/5/7,2014,5,7
6708200040,20140507,4.10E+05,4,2.75,2140,13000,1,0,0,3,7,1320,820,1968,0,98028,2360,11000,47.7683,-122.252,2014/5/7,2014,5,7
2325039067,20140507,6.90E+05,3,2,1760,6428,1,0,0,4,7,980,780,1942,0,98199,1760,6004,47.6388,-122.397,2014/5/7,2014,5,7
7401000040,20140507,4.05E+05,3,2.25,1660,8307,1,0,0,4,8,1660,0,1961,0,98133,2510,7800,47.7575,-122.352,2014/5/7,2014,5,7
2548100180,20140507,3.35E+05,3,2,1570,7200,1,0,0,4,7,1570,0,1952,0,98155,1410,7434,47.7501,-122.314,2014/5/7,2014,5,7
3758900259,20140507,1.04E+06,4,3.5,3900,8391,2,0,0,3,10,3900,0,2006,0,98033,3820,12268,47.6979,-122.205,2014/5/7,2014,5,7
4014400381,20140507,4.95E+05,4,2.75,2656,21195,2,0,0,3,9,2656,0,2014,0,98001,1860,16510,47.3162,-122.272,2014/5/7,2014,5,7
1601600167,20140507,3.65E+05,5,2.75,2410,5003,1,0,0,3,7,1410,1000,2008,0,98118,1590,5003,47.5298,-122.274,2014/5/7,2014,5,7
3753000010,20140507,4.17E+05,3,2.25,1606,1452,3,0,0,3,8,1606,0,2009,0,98125,1516,1939,47.7175,-122.284,2014/5/7,2014,5,7
9521100301,20140507,3.40E+05,2,1,820,681,3,0,0,3,8,820,0,2006,0,98103,820,1156,47.6619,-122.352,2014/5/7,2014,5,7
8566100200,20140508,9.80E+05,5,2.5,3160,11470,1,0,0,4,9,1780,1380,1971,0,98040,3260,11470,47.5368,-122.216,2014/5/8,2014,5,8
4167300350,20140508,2.58E+05,4,1.75,1730,8320,1,0,0,3,7,1230,500,1977,0,98023,1840,9800,47.327,-122.361,2014/5/8,2014,5,8
6127011000,20140508,5.38E+05,4,2.5,2550,4630,2,0,0,3,7,2550,0,2005,0,98075,2550,5151,47.5928,-122.004,2014/5/8,2014,5,8
128500260,20140508,2.62E+05,4,2.5,2020,6236,2,0,0,3,7,2020,0,2002,0,98001,1940,5076,47.2796,-122.247,2014/5/8,2014,5,8
6706600090,20140508,4.02E+05,3,2.5,1960,8000,1,0,0,4,7,1290,670,1977,0,98034,1960,8000,47.7249,-122.178,2014/5/8,2014,5,8
